Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
D4         SM/D_SOD123-A1C2          24mm       120.3mm          24mm       120.3mm          24mm         122mm  T        270.00 Diode/A1C2     
D3         PLCC_2                 92.5mm          25mm        92.5mm          25mm          91mm          25mm  T        360.00 HSMG-A100-J02J1
D2         PLCC_2                 92.5mm          29mm        92.5mm          29mm          91mm          29mm  T        360.00 HSMG-A100-J02J1
D1         SM/D_DO214-AC_(SMA)        47.9mm        91.4mm        47.9mm        91.4mm        47.9mm       93.45mm  T        270.00 B340A          
C71        SM/C_0603              24.4mm        91.7mm        24.4mm        91.7mm     25.1112mm        91.7mm  T        180.00 100nF          
C70        SM/C_0603                75mm        50.6mm          75mm        50.6mm          75mm     51.3112mm  T        270.00 100nF          
C69        SM/C_0603              11.7mm       138.5mm        11.7mm       138.5mm        11.7mm    137.7888mm  B         90.00 22pF           
C68        SM/C_0603                18mm       138.5mm          18mm       138.5mm          18mm    137.7888mm  B         90.00 22pF           
C67        SM/C_0603              14.9mm       138.5mm        14.9mm       138.5mm        14.9mm    137.7888mm  B         90.00 22pF           
C66        SM/C_0603              21.2mm       138.5mm        21.2mm       138.5mm        21.2mm    137.7888mm  B         90.00 22pF           
C65        SM/C_0603              96.8mm       104.5mm        96.8mm       104.5mm        96.8mm    105.2112mm  B        270.00 22pF           
C64        SM/C_0603              90.5mm       104.5mm        90.5mm       104.5mm        90.5mm    105.2112mm  B        270.00 22pF           
C63        SM/C_0603              93.6mm       104.5mm        93.6mm       104.5mm        93.6mm    105.2112mm  B        270.00 22pF           
C62        SM/C_0603              87.3mm       104.5mm        87.3mm       104.5mm        87.3mm    105.2112mm  B        270.00 22pF           
C61        SM/C_0805              10.8mm        74.8mm        10.8mm        74.8mm      9.7332mm        74.8mm  B        360.00 100nF          
C60        SM/C_0603             105.5mm        53.9mm       105.5mm        53.9mm    106.2112mm        53.9mm  T        180.00 1uF            
C59        SM/C_0603              99.2mm        54.3mm        99.2mm        54.3mm     98.4888mm        54.3mm  T        360.00 1uF            
C58        SM/C_0603             105.6mm        43.3mm       105.6mm        43.3mm    106.3112mm        43.3mm  T        180.00 1uF            
C57        SM/C_0603              99.2mm        43.5mm        99.2mm        43.5mm     98.4888mm        43.5mm  T        360.00 1uF            
C55        SM/C_0603              55.2mm       125.2mm        55.2mm       125.2mm     55.9112mm       125.2mm  B        180.00 100nF          
C54        SM/C_0603              52.2mm         127mm        52.2mm         127mm        52.2mm    127.7112mm  B        270.00 100nF          
C50        SM/C_0603              51.2mm       107.5mm        51.2mm       107.5mm        51.2mm    106.7888mm  T         90.00 100nF          
C49        SM/C_0603              51.5mm         104mm        51.5mm         104mm     52.2112mm         104mm  T        180.00 100nF          
C48        SM/C_0603              44.2mm         106mm        44.2mm         106mm     44.9112mm         106mm  T        180.00 100nF          
